code,name,yomi,prefecture_code
17003,鳳珠郡,ほうすぐん,17
17004,能美郡,のみぐん,17
17005,石川郡,いしかわぐん,17
17006,河北郡,かほくぐん,17
17007,江沼郡,えぬまぐん,17
17008,鳳至郡,ふげしぐん,17
17009,珠洲郡,すずぐん,17
18001,坂井郡,さかいぐん,18
18002,吉田郡,よしだぐん,18
18003,丹生郡,にゅうぐん,18
18004,三方郡,みかたぐん,18
18005,遠敷郡,おにゅうぐん,18
18006,大野郡,おおのぐん,18
18007,南条郡,なんじょうぐん,18
18008,足羽郡,あすわぐん,18
18009,三方上中郡,みかたかみなかぐん,18
18010,今立郡,いまだてぐん,18
18011,大飯郡,おおいぐん,18
19001,南巨摩郡,みなみこまぐん,19
19002,東八代郡,ひがしやつしろぐん,19
19003,東山梨郡,ひがしやまなしぐん,19
19004,西八代郡,にしやつしろぐん,19
19005,北巨摩郡,きたこまぐん,19
19006,南都留郡,みなみつるぐん,19
19007,中巨摩郡,なかこまぐん,19
19008,北都留郡,きたつるぐん,19
20001,南安曇郡,みなみあづみぐん,20
20002,小県郡,ちいさがたぐん,20
20003,東筑摩郡,ひがしちくまぐん,20
20004,下伊那郡,しもいなぐん,20
20005,上高井郡,かみたかいぐん,20
20006,南佐久郡,みなみさくぐん,20
20007,木曽郡,きそぐん,20
20008,埴科郡,はにしなぐん,20
20009,上水内郡,かみみのちぐん,20
20010,北佐久郡,きたさくぐん,20
20011,北安曇郡,きたあづみぐん,20
20012,更級郡,さらしなぐん,20
20013,上伊那郡,かみいなぐん,20
20014,下水内郡,しもみのちぐん,20
21001,揖斐郡,いびぐん,21
21002,大野郡,おおのぐん,21
21003,本巣郡,もとすぐん,21
21004,吉城郡,よしきぐん,21
21005,恵那郡,えなぐん,21
21006,武儀郡,むぎぐん,21
21007,山県郡,やまがたぐん,21
21008,郡上郡,ぐじょうぐん,21
21009,加茂郡,かもぐん,21
21010,海津郡,かいづぐん,21
21011,羽島郡,はしまぐん,21
21012,土岐郡,ときぐん,21
21013,可児郡,かにぐん,21
21014,安八郡,あんぱちぐん,21
21015,益田郡,ましたぐん,21
21016,養老郡,ようろうぐん,21
22001,小笠郡,おがさぐん,22
22002,浜松市,はままつし,22
22003,磐田郡,いわたぐん,22
22004,浜名郡,はまなぐん,22
22005,富士郡,ふじぐん,22
22006,榛原郡,はいばらぐん,22
22007,田方郡,たがたぐん,22
22008,賀茂郡,かもぐん,22
22009,引佐郡,いなさぐん,22
22010,静岡市,しずおかし,22
22011,庵原郡,いはらぐん,22
22012,志太郡,しだぐん,22
22013,周智郡,しゅうちぐん,22
22014,駿東郡,すんとうぐん,22
23001,宝飯郡,ほいぐん,23
23002,海部郡,あまぐん,23
23003,碧海郡,へきかいぐん,23
23004,渥美郡,あつみぐん,23
23005,西春日井郡,にしかすがいぐん,23
23006,額田郡,ぬかたぐん,23
23007,名古屋市,なごやし,23
23008,北設楽郡,きたしたらぐん,23
23009,知多郡,ちたぐん,23
23010,西加茂郡,にしかもぐん,23
23011,東加茂郡,ひがしかもぐん,23
23012,愛知郡,あいちぐん,23
23013,南設楽郡,みなみしたらぐん,23
23014,中島郡,なかしまぐん,23
23015,幡豆郡,はずぐん,23
23016,葉栗郡,はぐりぐん,23
23017,東春日井郡,ひがしかすがいぐん,23
23018,丹羽郡,にわぐん,23
24001,一志郡,いちしぐん,24
24002,度会郡,わたらいぐん,24
24003,員弁郡,いなべぐん,24
24004,志摩郡,しまぐん,24
24005,桑名郡,くわなぐん,24
24006,安芸郡,あげぐん,24
24007,北牟婁郡,きたむろぐん,24
24008,阿山郡,あやまぐん,24
24009,多気郡,たきぐん,24
24010,名賀郡,ながぐん,24
24011,飯南郡,いいなんぐん,24
24012,鈴鹿郡,すずかぐん,24
24013,南牟婁郡,みなみむろぐん,24
24014,三重郡,みえぐん,24
25001,高島郡,たかしまぐん,25
25002,愛知郡,えちぐん,25
25003,坂田郡,さかたぐん,25
25004,野洲郡,やすぐん,25
